Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
1,0,0,1,2020-01-27
4,0,0,4,2020-01-28
4,0,0,4,2020-01-29
4,0,0,4,2020-01-30
5,0,0,5,2020-01-31
8,0,0,8,2020-02-01
10,0,0,10,2020-02-02
12,0,0,12,2020-02-03
12,0,0,12,2020-02-04
12,0,0,12,2020-02-05
12,0,0,12,2020-02-06
13,0,0,13,2020-02-07
13,0,0,13,2020-02-08
14,0,0,14,2020-02-09
14,0,0,14,2020-02-10
16,0,0,16,2020-02-11
16,0,0,16,2020-02-12
16,0,1,15,2020-02-13
16,0,1,15,2020-02-14
16,0,1,15,2020-02-15
16,0,1,15,2020-02-16
16,0,1,15,2020-02-17
16,0,12,4,2020-02-18
16,0,12,4,2020-02-19
16,0,12,4,2020-02-20
16,0,14,2,2020-02-21
16,0,14,2,2020-02-22
16,0,14,2,2020-02-23
16,0,14,2,2020-02-24
17,0,14,3,2020-02-25
27,0,15,12,2020-02-26
46,0,16,30,2020-02-27
48,0,16,32,2020-02-28
79,0,16,63,2020-02-29
130,0,16,114,2020-03-01
159,0,16,143,2020-03-02
196,0,16,180,2020-03-03
262,0,16,246,2020-03-04
482,0,16,466,2020-03-05
670,0,17,653,2020-03-06
799,0,18,781,2020-03-07
1040,0,18,1022,2020-03-08
1176,2,18,1156,2020-03-09
1457,2,18,1437,2020-03-10
1908,3,25,1880,2020-03-11
2078,3,25,2050,2020-03-12
3675,7,46,3622,2020-03-13
4585,9,46,4530,2020-03-14
5795,11,46,5738,2020-03-15
7272,17,67,7188,2020-03-16
9257,24,67,9166,2020-03-17
12327,28,105,12194,2020-03-18
15320,44,113,15163,2020-03-19
19848,67,180,19601,2020-03-20
22213,84,233,21896,2020-03-21
24873,94,266,24513,2020-03-22
29056,123,266,28667,2020-03-23
32986,157,3243,29586,2020-03-24
37323,206,3547,33570,2020-03-25
43938,267,5673,37998,2020-03-26
50871,342,6658,43871,2020-03-27
57695,433,8481,48781,2020-03-28
62095,533,9211,52351,2020-03-29
66885,645,13500,52740,2020-03-30
71808,775,16100,54933,2020-03-31
77872,920,18700,58252,2020-04-01
84794,1107,22440,61247,2020-04-02
91159,1275,24575,65309,2020-04-03
96092,1444,26400,68248,2020-04-04
100123,1584,28700,69839,2020-04-05
103374,1810,28700,72864,2020-04-06
107663,2016,36081,69566,2020-04-07
113296,2349,46300,64647,2020-04-08
118181,2607,52407,63167,2020-04-09
122171,2767,53913,65491,2020-04-10
124908,2736,57400,64772,2020-04-11
127854,3022,60300,64532,2020-04-12
130072,3194,64300,62578,2020-04-13
131359,3294,68200,59865,2020-04-14
134753,3804,72600,58349,2020-04-15
137698,4052,77000,56646,2020-04-16
141397,4352,83114,53931,2020-04-17
143342,4459,85400,53483,2020-04-18
145184,4586,88000,52598,2020-04-19
147065,4862,91500,50703,2020-04-20
148291,5033,95200,48058,2020-04-21
150648,5279,99400,45969,2020-04-22
153129,5575,103300,44254,2020-04-23
154999,5760,109800,39439,2020-04-24
156513,5877,109800,40836,2020-04-25
157770,5976,112000,39794,2020-04-26
158758,6126,114500,38132,2020-04-27
159912,6314,117400,36198,2020-04-28
161539,6467,120400,34672,2020-04-29
163009,6623,123500,32886,2020-04-30
164077,6736,126900,30441,2020-05-01
164967,6812,129000,29155,2020-05-02
165664,6866,130600,28198,2020-05-03
166152,6993,132700,26459,2020-05-04
167007,6993,135100,24914,2020-05-05
168162,7275,139900,20987,2020-05-06
169430,7392,141700,20338,2020-05-07
170588,7510,141700,21378,2020-05-08
171324,7549,143300,20475,2020-05-09
171879,7569,144400,19910,2020-05-10
172576,7661,145617,19298,2020-05-11
173171,7738,147200,18233,2020-05-12
174098,7861,148700,17537,2020-05-13
174478,7884,150300,16294,2020-05-14
175233,7897,151597,15739,2020-05-15
175752,7938,152600,15214,2020-05-16
176369,7962,154011,14396,2020-05-17
176551,8003,155041,13507,2020-05-18
177778,8081,155681,14016,2020-05-19
178473,8144,156966,13363,2020-05-20
179021,8203,158087,12731,2020-05-21
179710,8228,159064,12418,2020-05-22
179986,8261,159716,12009,2020-05-23
180328,8283,160281,11764,2020-05-24
